"Name","Area","Address","Phone","Rating","Review","Total Reviews","Type","Thumbnail","Images","Video","Opening Time","Pincode","Doc ID","Latitude","Longitude","Web URL","Verified","Scraped At"
"Spandan Hospital ICU & Multispeciality","Near Fly Over Bridge Thergaon","Near Dange Chowk Thergaon","","4.6","I would highly recommend spandan hospital as the staff and doctors there are very professional well behaved and very attentive towards patients , my mother was admitted there for 4 days approx as she was suffered from viral fever , and i was very much satisfied by the treatment she received from doc and the staff took utmost care of her .","255","Hospitals, ENT Doctors","https://content.jdmagicbox.com/comp/pune/h6/020pxx20.xx20.131218114335.x5h6/catalogue/spandan-hospital-icu-and-multispeciality-thergaon-pune-multispeciality-hospitals-1z91p02ply-250.jpg?clr=#333333","https://content.jdmagicbox.com/comp/pune/h6/020pxx20.xx20.131218114335.x5h6/catalogue/spandan-hospital-icu-and-multispeciality-thergaon-pune-multispeciality-hospitals-1z91p02ply.jpg?clr=#333333
https://content.jdmagicbox.com/comp/pune/h6/020pxx20.xx20.131218114335.x5h6/catalogue/spandan-hospital-icu-and-multispeciality-thergaon-pune-private-hospitals-5uwp3dyfzp.jpg
https://content.jdmagicbox.com/comp/pune/h6/020pxx20.xx20.131218114335.x5h6/catalogue/spandan-hospital-icu-and-multispeciality-thergaon-pune-private-hospitals-ssca9v6xmd.jpg
https://content.jdmagicbox.com/comp/pune/h6/020pxx20.xx20.131218114335.x5h6/catalogue/spandan-hospital-icu-and-multispeciality-thergaon-pune-private-hospitals-tgw2ghqjsc.jpg
https://content.jdmagicbox.com/comp/pune/h6/020pxx20.xx20.131218114335.x5h6/catalogue/spandan-hospital-icu-and-multispeciality-thergaon-pune-private-hospitals-x57ggmec00.jpg","","Open 24 Hrs","411033","020PXX20.XX20.131218114335.X5H6","18.614133833333","73.765808083333","https://www.justdial.com/Pune/Spandan-Hospital-ICU-Multispeciality-Near-Dange-Chowk-Thergaon/020PXX20-XX20-131218114335-X5H6_BZDET","Yes","2024-02-10T15:19:18.951Z"
"Arogyam Health Clinic","Eon It Park Road Kharadi","Near Mountain Glory Society Kharadi","09035182278","4.4","Mam is best pediatrics doctor. She is down to earth. Listen and resolve all your queries with calmly which is best part of her.
She always receive call which is now a days lacking in almost all doctor.
We visited for our 5 years son who suddenly stopped walking post viral fever.
She listen our queries and give us courage.
With her guidance our son cured immediately.
She gives enough time to each n every patients which is best part of her and she is very friendly in nature.","196","ENT Doctors, Paediatricians","https://content.jdmagicbox.com/comp/pune/l7/020pxx20.xx20.170519205312.l7l7/catalogue/arogyam-health-clinic-kharadi-pune-general-physician-doctors-fdtjr8jl9m-250.jpg?clr=#333333","https://content.jdmagicbox.com/comp/pune/l7/020pxx20.xx20.170519205312.l7l7/catalogue/arogyam-health-clinic-kharadi-pune-general-physician-doctors-fdtjr8jl9m.jpg?clr=#333333
https://content.jdmagicbox.com/comp/pune/l7/020pxx20.xx20.170519205312.l7l7/catalogue/arogyam-health-clinic-kharadi-pune-clinics-4yapk3e2be.jpg
https://content.jdmagicbox.com/comp/pune/l7/020pxx20.xx20.170519205312.l7l7/catalogue/arogyam-health-clinic-kharadi-pune-clinics-c2682803n0.jpg
https://content.jdmagicbox.com/comp/pune/l7/020pxx20.xx20.170519205312.l7l7/catalogue/arogyam-health-clinic-kharadi-pune-clinics-psqkcfbg1m.jpg
https://content.jdmagicbox.com/comp/pune/l7/020pxx20.xx20.170519205312.l7l7/catalogue/arogyam-health-clinic-kharadi-pune-clinics-pnamhlmgmt.jpg","","10:30 am - 1:00 pm , 5:00 pm - 9:00 pm","411014","020PXX20.XX20.170519205312.L7L7","18.5623074","73.9488642","https://www.justdial.com/Pune/Arogyam-Health-Clinic-Near-Mountain-Glory-Society-Kharadi/020PXX20-XX20-170519205312-L7L7_BZDET","Yes","2024-02-10T15:19:18.951Z"
"Welfare Multispecialty Hospital","Kondhwa Khurd","Near Naaz Hotel Kondhwa Khurd","","4.3","This is hospital has created my family and exceptionally well. Any issues we experience d no matter how large were immediately acted upon. the doctor were very caring towards the patient and provided us with you enough time to ask all our question. all the sisters also were always around and ensured all of us were at ease. The organisation of this hospital allowed us to do things  (test/ scan )at the time that was most comfortable for the patient.","210","Hospitals, Dermatologists","https://content.jdmagicbox.com/comp/pune/h4/020pxx20.xx20.180328161832.k1h4/catalogue/welfare-multispecialty-hospital-kondhwa-khurd-pune-hospitals-6ydgu87ooj-250.jpg?clr=#413325","https://content.jdmagicbox.com/comp/pune/h4/020pxx20.xx20.180328161832.k1h4/catalogue/welfare-multispecialty-hospital-kondhwa-khurd-pune-hospitals-6ydgu87ooj.jpg?clr=#413325
https://content.jdmagicbox.com/comp/pune/h4/020pxx20.xx20.180328161832.k1h4/catalogue/welfare-multispecialty-hospital-kondhwa-khurd-pune-hospitals-8y52kdooxp.jpg
https://content.jdmagicbox.com/comp/pune/h4/020pxx20.xx20.180328161832.k1h4/catalogue/welfare-multispecialty-hospital-kondhwa-khurd-pune-hospitals-97ktg0ad6a.jpg
https://content.jdmagicbox.com/comp/pune/h4/020pxx20.xx20.180328161832.k1h4/catalogue/welfare-multispecialty-hospital-kondhwa-khurd-pune-hospitals-c3372h8j4l.jpg
https://content.jdmagicbox.com/comp/pune/h4/020pxx20.xx20.180328161832.k1h4/catalogue/welfare-multispecialty-hospital-kondhwa-khurd-pune-hospitals-fbjnisc6zd.jpg","","Open 24 Hrs","411048","020PXX20.XX20.180328161832.K1H4","18.472253777778","73.888938888889","https://www.justdial.com/Pune/Welfare-Multispecialty-Hospital-Near-Naaz-Hotel-Kondhwa-Khurd/020PXX20-XX20-180328161832-K1H4_BZDET","Yes","2024-02-10T15:19:18.951Z"
"Vitthal Clinic","Pune Nashik Highway Moshi","Bharat Mata Chowk Moshi","08123931984","4.8","","11","Orthopaedic Doctors, General Physician Doctors","https://content.jdmagicbox.com/comp/pune/t9/020pxx20.xx20.230324133048.b6t9/catalogue/vitthal-clinic-moshi-alandi-ucoqnr0o23-250.jpg","https://content.jdmagicbox.com/comp/pune/t9/020pxx20.xx20.230324133048.b6t9/catalogue/vitthal-clinic-moshi-alandi-ucoqnr0o23.jpg","","Open 24 Hrs","412105","020PXX20.XX20.230324133048.B6T9","18.680035019368","73.848776245844","https://www.justdial.com/Pune/Vitthal-Clinic-Bharat-Mata-Chowk-Moshi/020PXX20-XX20-230324133048-B6T9_BZDET","Yes","2024-02-10T15:19:18.951Z"
"Anand Multispeciality Hospital","Pune Nasik Rd Bhosari Bhosari","PMT Chowk Bhosari","09035066418","4.3","I recommended this hospital to one of my friends. She had a severe pain. She undergo a proper checkup. later, it was found that she had kidney stone. We worried that she might have to go for Operation. But doctor console us not to be worried. We`ll go for a hydrotherapy, Eventually, it was success.
Overall one of the best experience we had.
Hospital, general ward were properly clean. staff, doctors were well trained and thorough professional. Recommending to all punekar.","480","Hospitals, Dermatologists","https://content.jdmagicbox.com/comp/pune/p1/020pxx20.xx20.091029160954.g4p1/catalogue/anand-multispeciality-hospital-bhosari-pune-hospitals-7ok31bur2w-250.jpg?clr=#3b2b3b","https://content.jdmagicbox.com/comp/pune/p1/020pxx20.xx20.091029160954.g4p1/catalogue/anand-multispeciality-hospital-bhosari-pune-hospitals-7ok31bur2w.jpg?clr=#3b2b3b
https://content.jdmagicbox.com/comp/pune/p1/020pxx20.xx20.091029160954.g4p1/catalogue/anand-multispeciality-hospital-bhosari-pune-hospitals-1ysjed1rrp.jpg
https://content.jdmagicbox.com/comp/pune/p1/020pxx20.xx20.091029160954.g4p1/catalogue/anand-multispeciality-hospital-bhosari-pune-hospitals-t1ajkqm0cl.jpg
https://content.jdmagicbox.com/comp/pune/p1/020pxx20.xx20.091029160954.g4p1/catalogue/anand-multispeciality-hospital-bhosari-pune-hospitals-4fsecrusey.jpg
https://content.jdmagicbox.com/comp/pune/p1/020pxx20.xx20.091029160954.g4p1/catalogue/anand-multispeciality-hospital-bhosari-pune-hospitals-z2xhm96rku.jpg","","Open 24 Hrs","411039","020PXX20.XX20.091029160954.G4P1","18.6219685","73.8515147","https://www.justdial.com/Pune/Anand-Multispeciality-Hospital-PMT-Chowk-Bhosari/020PXX20-XX20-091029160954-G4P1_BZDET","Yes","2024-02-10T15:19:18.951Z"
"Ashirwad Homeo Care","Swargate","Rashtrabhushan Chowk Swargate","","4.2","Best result for skin allergy felt from first month with start of homeopathy treatment from  Homeopathy is really very effective and efficient health science. I am very satisfied with my son`s white spots result. His skin texture is now improving without any side effects.. I am really thankful","15","Paediatricians, General Physician Doctors","https://content.jdmagicbox.com/comp/pune/m7/020pxx20.xx20.120514193025.l3m7/catalogue/ashirwad-homoeo-care-pune-0gnvvh8drw-250.jpg?clr=#333333","https://content.jdmagicbox.com/comp/pune/m7/020pxx20.xx20.120514193025.l3m7/catalogue/ashirwad-homoeo-care-pune-0gnvvh8drw.jpg?clr=#333333
https://content.jdmagicbox.com/comp/pune/m7/020pxx20.xx20.120514193025.l3m7/catalogue/ashirwad-homeo-care-swargate-pune-homeopathic-clinics-al84hnhdqu.jpg","","10:00 am - 8:00 pm","411042","020PXX20.XX20.120514193025.L3M7","18.5038994","73.8593942","https://www.justdial.com/Pune/Ashirwad-Homeo-Care-Rashtrabhushan-Chowk-Swargate/020PXX20-XX20-120514193025-L3M7_BZDET","Yes","2024-02-10T15:19:18.951Z"
"Surya Hospital","Chikhali Road Chinchwad East","Krushnanagar Chowk Chinchwad East","","4.7","Dr Suryawanshi Thank you so much for your care and guidance during this incredible experience, we are beyond thrilled. thank you so much again for every thing you did to help get our baby here. you were so wonderful to work with during a stressful time and you are best person in my life, thank you Dr","584","Hospitals, ENT Doctors","https://content.jdmagicbox.com/comp/pune/k7/020pxx20.xx20.120928114603.e9k7/catalogue/surya-hospital-chinchwad-east-pune-hospitals-c19xi9yu5s-250.jpg?clr=#1d491d","https://content.jdmagicbox.com/comp/pune/k7/020pxx20.xx20.120928114603.e9k7/catalogue/surya-hospital-chinchwad-east-pune-hospitals-c19xi9yu5s.jpg?clr=#1d491d
https://content.jdmagicbox.com/comp/pune/k7/020pxx20.xx20.120928114603.e9k7/catalogue/surya-hospital-chinchwad-east-pune-dermatologists-ypq2yshnsl.jpg
https://content.jdmagicbox.com/comp/pune/k7/020pxx20.xx20.120928114603.e9k7/catalogue/surya-hospital-chinchwad-east-pune-hospitals-bm9k0m2r3f.jpg
https://content.jdmagicbox.com/comp/pune/k7/020pxx20.xx20.120928114603.e9k7/catalogue/surya-hospital-chinchwad-east-pune-hospitals-hmbhd2in8w.jpg
https://content.jdmagicbox.com/comp/pune/k7/020pxx20.xx20.120928114603.e9k7/catalogue/surya-hospital-chinchwad-east-pune-hospitals-6pzry3xf6u.jpg","","Open 24 Hrs","411019","020PXX20.XX20.120928114603.E9K7","18.6679742","73.7970218","https://www.justdial.com/Pune/Surya-Hospital-Krushnanagar-Chowk-Chinchwad-East/020PXX20-XX20-120928114603-E9K7_BZDET","Yes","2024-02-10T15:19:18.951Z"
"Vimal Nursing Home Multispeciality Hospital and ICU","Dhankawadi","Near Axis Bank Ltd Balaji Nagar Dhankawadi","09035283172","4.6","I was admitted in this hospital from 8-13 March 2023 & had successful major operation. This hospital is good, better, best for treatment. I believe in this hospital there is God Devine Power & Positive energy. Very nice & up to mark treatment. Though the hospital is little bit small, but all facilities are available including ICU. At most care taken by staff, nurse, doctors. My experience is really good & happy. Within five days doctors recovered me. Very specially Thanks to Dr. Gajanan Shinde, Dr. Gajanan Patil, Dr. Piyush who made it easy treatment. I recommend this hospital. What ever is your problem, without hesitating discuss with Dr, Shinde & you will get resolution & satisfactory treatment. Also Pre & Post treatment is nice & satisfactory With regards to charges/fees are reasonable. Health is important so visit this hospital once. Hope all your health issue will be sorted. Again special thanks to all doctors, staff, nurses, etc. I have given five rating to this hospital & deserve for this rating,  All insurance claims are available.","106","Hospitals, Orthopaedic Doctors","https://content.jdmagicbox.com/comp/pune/d5/020pxx20.xx20.211108120755.f2d5/catalogue/-g5babe5935-250.jpg?clr=#462020","https://content.jdmagicbox.com/comp/pune/d5/020pxx20.xx20.211108120755.f2d5/catalogue/-g5babe5935.jpg?clr=#462020
https://content.jdmagicbox.com/comp/pune/d5/020pxx20.xx20.211108120755.f2d5/catalogue/vimal-nursing-home-multispeciality-hospital-and-icu-dhankawadi-pune-multispeciality-hospitals-zlsb6vbzvc.jpg
https://content.jdmagicbox.com/comp/pune/d5/020pxx20.xx20.211108120755.f2d5/catalogue/vimal-nursing-home-multispeciality-hospital-and-icu-dhankawadi-pune-multispeciality-hospitals-zpodax0jh3.jpg
https://content.jdmagicbox.com/comp/pune/d5/020pxx20.xx20.211108120755.f2d5/catalogue/-lz7g8gp73s.jpg
https://content.jdmagicbox.com/comp/pune/d5/020pxx20.xx20.211108120755.f2d5/catalogue/vimal-nursing-home-multispeciality-hospital-dhankawadi-pune-general-physician-doctors-4xmw2wg6bg.jpg","","Open 24 Hrs","411043","020PXX20.XX20.211108120755.F2D5","18.467462527778","73.858024583333","https://www.justdial.com/Pune/Vimal-Nursing-Home-Multispeciality-Hospital-and-ICU-Near-Axis-Bank-Ltd-Balaji-Nagar-Dhankawadi/020PXX20-XX20-211108120755-F2D5_BZDET","Yes","2024-02-10T15:19:18.951Z"
"Dr. Ganesh Tarale (Shree Gajanan Clinic)","Dudulgao Moshi"," Moshi","","4","","3","Paediatricians, General Physician Doctors","https://content.jdmagicbox.com/comp/pune/s6/020pxx20.xx20.150727191743.u6s6/catalogue/dr-ganesh-tarale-shree-gajanan-clinic-rahatani-pune-general-physician-doctors-uc9s3p5ry6-250.jpg?clr=#442222","https://content.jdmagicbox.com/comp/pune/s6/020pxx20.xx20.150727191743.u6s6/catalogue/dr-ganesh-tarale-shree-gajanan-clinic-rahatani-pune-general-physician-doctors-uc9s3p5ry6.jpg?clr=#442222
https://content.jdmagicbox.com/comp/pune/s6/020pxx20.xx20.150727191743.u6s6/catalogue/dr-ganesh-tarale-shree-gajanan-clinic-rahatani-pune-general-physician-doctors-jh1ab9e90r.jpg
https://content.jdmagicbox.com/comp/pune/s6/020pxx20.xx20.150727191743.u6s6/catalogue/dr-ganesh-tarale-shree-gajanan-clinic-rahatani-pune-general-physician-doctors-91e4wl4go9.jpg
https://content.jdmagicbox.com/comp/pune/s6/020pxx20.xx20.150727191743.u6s6/catalogue/dr-ganesh-tarale-shree-gajanan-clinic-rahatani-pune-general-physician-doctors-k608yklgwm.jpg","","10:30 am - 1:15 pm , 6:30 pm - 9:30 pm","412105","020PXX20.XX20.150727191743.U6S6","18.652385","73.846056","https://www.justdial.com/Pune/Dr-Ganesh-Tarale-Shree-Gajanan-Clinic-Moshi/020PXX20-XX20-150727191743-U6S6_BZDET","Yes","2024-02-10T15:19:18.951Z"
"Lotus Clinic and Lotus Lab","Shivaji Nagar","Opposite Centurion Inn Shivaji Nagar","","4","Today I met Dr. Lad and felt very relaxed.. Good Clinic Good Service. Thanks Dr Lad .. JD Services is very Good ..","25","Pathology Labs, Sonography Centres","https://content.jdmagicbox.com/comp/pune/k9/020pxx20.xx20.180119130155.b3k9/catalogue/lotus-clinic-and-health-check-lab-shivaji-nagar-pune-pathology-labs-th2jllyw4t-250.jpg?clr=#28333e","https://content.jdmagicbox.com/comp/pune/k9/020pxx20.xx20.180119130155.b3k9/catalogue/lotus-clinic-and-health-check-lab-shivaji-nagar-pune-pathology-labs-th2jllyw4t.jpg?clr=#28333e
https://content.jdmagicbox.com/comp/pune/k9/020pxx20.xx20.180119130155.b3k9/catalogue/lotus-clinic-and-health-check-lab-shivaji-nagar-pune-pathology-labs-0jr75wnzyp.jpg
https://content.jdmagicbox.com/comp/pune/k9/020pxx20.xx20.180119130155.b3k9/catalogue/lotus-clinic-and-health-check-lab-shivaji-nagar-pune-pathology-labs-mqbi5tgqpo.jpg
https://content.jdmagicbox.com/comp/pune/k9/020pxx20.xx20.180119130155.b3k9/catalogue/lotus-clinic-and-health-check-lab-shivaji-nagar-pune-pathology-labs-fkwiizwztz.jpg
https://content.jdmagicbox.com/comp/pune/k9/020pxx20.xx20.180119130155.b3k9/catalogue/lotus-clinic-and-health-check-lab-shivaji-nagar-pune-pathology-labs-1qlnzdaqup.jpg","","11:00 am - 1:30 pm","411005","020PXX20.XX20.180119130155.B3K9","18.535228878541","73.84949992533","https://www.justdial.com/Pune/Lotus-Clinic-and-Lotus-Lab-Opposite-Centurion-Inn-Shivaji-Nagar/020PXX20-XX20-180119130155-B3K9_BZDET","No","2024-02-10T15:19:18.951Z"